codigo_ibge,municipio,populacao,ano
2100808,ANAPURUS - MA,14113,2025
2100832,APICUM-AÇU - MA,18033,2025
2100873,ARAGUANÃ - MA,11297,2025
2100907,ARAIOSES - MA,40231,2025
2100956,ARAME - MA,26089,2025
2101004,ARARI - MA,30555,2025
2101103,AXIXÁ - MA,12091,2025
2101202,BACABAL - MA,107755,2025
2101251,BACABEIRA - MA,17459,2025
2101301,BACURI - MA,16591,2025
2101350,BACURITUBA - MA,5375,2025
2101400,BALSAS - MA,105974,2025
2101509,BARÃO DE GRAJAÚ - MA,19493,2025
2101608,BARRA DO CORDA - MA,87757,2025
2101707,BARREIRINHAS - MA,68234,2025
2101731,BELÁGUA - MA,8751,2025
2101772,BELA VISTA DO MARANHÃO - MA,12104,2025
2101806,BENEDITO LEITE - MA,5599,2025
2101905,BEQUIMÃO - MA,19968,2025
2101939,BERNARDO DO MEARIM - MA,5989,2025
2101970,BOA VISTA DO GURUPI - MA,7781,2025
2102002,BOM JARDIM - MA,33936,2025
2102036,BOM JESUS DAS SELVAS - MA,29606,2025
2102077,BOM LUGAR - MA,12371,2025
2102101,BREJO - MA,35354,2025
2102150,BREJO DE AREIA - MA,9363,2025
2102200,BURITI - MA,30866,2025
2102309,BURITI BRAVO - MA,22938,2025
2102325,BURITICUPU - MA,56733,2025
2102358,BURITIRANA - MA,13125,2025
2102374,CACHOEIRA GRANDE - MA,10032,2025
2102408,CAJAPIÓ - MA,10336,2025
2102507,CAJARI - MA,16680,2025
2102556,CAMPESTRE DO MARANHÃO - MA,12536,2025
2102606,CÂNDIDO MENDES - MA,20440,2025
2102705,CANTANHEDE - MA,25059,2025
2102754,CAPINZAL DO NORTE - MA,11681,2025
2102804,CAROLINA - MA,24619,2025
2102903,CARUTAPERA - MA,24906,2025
2103000,CAXIAS - MA,163546,2025
2103109,CEDRAL - MA,10446,2025
2103125,CENTRAL DO MARANHÃO - MA,7220,2025
2103158,CENTRO DO GUILHERME - MA,12693,2025
2103174,CENTRO NOVO DO MARANHÃO - MA,16477,2025
2103208,CHAPADINHA - MA,84395,2025
2103257,CIDELÂNDIA - MA,13141,2025
2103307,CODÓ - MA,118283,2025
2103406,COELHO NETO - MA,42841,2025
2103505,COLINAS - MA,41788,2025
2103554,CONCEIÇÃO DO LAGO-AÇU - MA,15278,2025
2103604,COROATÁ - MA,61337,2025
2103703,CURURUPU - MA,32602,2025
2103752,DAVINÓPOLIS - MA,14828,2025
2103802,DOM PEDRO - MA,23594,2025
2103901,DUQUE BACELAR - MA,10443,2025
2104008,ESPERANTINÓPOLIS - MA,18734,2025
2104057,ESTREITO - MA,34321,2025
2104073,FEIRA NOVA DO MARANHÃO - MA,8237,2025
2104081,FERNANDO FALCÃO - MA,11219,2025
2104099,FORMOSA DA SERRA NEGRA - MA,18150,2025
2104107,FORTALEZA DOS NOGUEIRAS - MA,12963,2025
2104206,FORTUNA - MA,17347,2025
2104305,GODOFREDO VIANA - MA,10424,2025
2104404,GONÇALVES DIAS - MA,17580,2025
2104503,GOVERNADOR ARCHER - MA,10476,2025
2104552,GOVERNADOR EDISON LOBÃO - MA,18963,2025
2104602,GOVERNADOR EUGÊNIO BARROS - MA,14264,2025
2104628,GOVERNADOR LUIZ ROCHA - MA,7216,2025
2104651,GOVERNADOR NEWTON BELLO - MA,10993,2025
2104677,GOVERNADOR NUNES FREIRE - MA,23526,2025
2104701,GRAÇA ARANHA - MA,6160,2025
2104800,GRAJAÚ - MA,76837,2025
2104909,GUIMARÃES - MA,10439,2025
2105005,HUMBERTO DE CAMPOS - MA,26550,2025
2105104,ICATU - MA,25332,2025
2105153,IGARAPÉ DO MEIO - MA,14383,2025
2105203,IGARAPÉ GRANDE - MA,10461,2025
2105302,IMPERATRIZ - MA,285806,2025
2105351,ITAIPAVA DO GRAJAÚ - MA,14142,2025
2105401,ITAPECURU MIRIM - MA,62264,2025
2105427,ITINGA DO MARANHÃO - MA,22896,2025
2105450,JATOBÁ - MA,7593,2025
2105476,JENIPAPO DOS VIEIRAS - MA,17529,2025
2105500,JOÃO LISBOA - MA,25311,2025
2105609,JOSELÂNDIA - MA,15227,2025
2105658,JUNCO DO MARANHÃO - MA,5282,2025
2105708,LAGO DA PEDRA - MA,45865,2025
2105807,LAGO DO JUNCO - MA,9687,2025
2105906,LAGO VERDE - MA,15069,2025
2105922,LAGOA DO MATO - MA,10806,2025
2105948,LAGO DOS RODRIGUES - MA,8962,2025
2105963,LAGOA GRANDE DO MARANHÃO - MA,11731,2025
2105989,LAJEADO NOVO - MA,7232,2025
2106003,LIMA CAMPOS - MA,11559,2025
2106102,LORETO - MA,11884,2025
2106201,LUÍS DOMINGUES - MA,7366,2025
2106300,MAGALHÃES DE ALMEIDA - MA,13933,2025
2106326,MARACAÇUMÉ - MA,21730,2025
2106359,MARAJÁ DO SENA - MA,7153,2025
2106375,MARANHÃOZINHO - MA,14092,2025
2106409,MATA ROMA - MA,17581,2025
2106508,MATINHA - MA,22540,2025
2106607,MATÕES - MA,33327,2025
2106631,MATÕES DO NORTE - MA,18021,2025
2106672,MILAGRES DO MARANHÃO - MA,9065,2025
